Cell_Name	clone.id	clone.status	patient	sampleType	stype	majorCluster	loc
TTH36-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7170-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH85-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH128-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TP7111-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TP752-20180123	CRC.P0123_C000003:2	Clonal	P0123	TP7	CD4	CD4_C05-CXCR6	T
TP7120-20180123	CRC.P0123_C000002:9	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
TTH143-20180123	CRC.P0123_C000003:2	Clonal	P0123	TTH	CD4	CD4_C05-CXCR6	T
TTH106-20180123	CRC.P0123_C000002:9	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH108-20180123	CRC.P0123_C000010:1	NoClonal	P0123	TTH	CD4	CD4_C12-CTLA4	T
TP7127-20180123	CRC.P0123_C000012:1	NoClonal	P0123	TP7	CD4	CD4_C02-ANXA1	T
NTC133-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC117-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC13-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC115-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC154-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
NTC76-20180123	CRC.P0123_C000013:9	Clonal	P0123	NTC	CD8	CD8_C06-CD160	N
TTR157-20180123	CRC.P0123_C000014:1	NoClonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP769-20180123	CRC.P0123_C000015:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP730-20180123	CRC.P0123_C000015:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTH145-20180123	CRC.P0123_C000016:1	NoClonal	P0123	TTH	CD4	CD4_C07-GZMK	T
PP7-175-20180123	CRC.P0123_C000017:1	NoClonal	P0123	PP7	CD4	CD4_C02-ANXA1	P
TTH29-20180123	CRC.P0123_C000018:11	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
TTH144-20180123	CRC.P0123_C000018:11	Clonal	P0123	TTH	CD4	CD4_C07-GZMK	T
NTH78-20180123	CRC.P0123_C000018:11	Clonal	P0123	NTH	CD4	CD4_C07-GZMK	N
TP755-20180123	CRC.P0123_C000018:11	Clonal	P0123	TP7	CD4	CD4_C07-GZMK	T
NTH49-20180123	CRC.P0123_C000018:11	Clonal	P0123	NTH	CD4	CD4_C07-GZMK	N
PTH46-20180123	CRC.P0123_C000019:3	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
PTH24-20180123	CRC.P0123_C000019:3	Clonal	P0123	PTH	CD4	CD4_C03-GNLY	P
PTC48-20180123	CRC.P0123_C000021:3	Clonal	P0123	PTC	CD8	CD8_C03-CX3CR1	P
TTC105-20180123	CRC.P0123_C000021:3	Clonal	P0123	TTC	CD8	CD8_C04-GZMK	T
NTC28-20180123	CRC.P0123_C000022:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
NTC189-20180123	CRC.P0123_C000022:2	Clonal	P0123	NTC	CD8	CD8_C05-CD6	N
TTR100-20180123	CRC.P0123_C000023:3	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TP7183-20180123	CRC.P0123_C000023:3	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTH28-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TP7136-20180123	CRC.P0123_C000025:8	Clonal	P0123	TP7	CD4	CD4_C09-CXCL13	T
TTH62-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TTH93-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TP764-20180123	CRC.P0123_C000025:8	Clonal	P0123	TP7	CD4	CD4_C09-CXCL13	T
TTH56-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
TTH13-20180123	CRC.P0123_C000025:8	Clonal	P0123	TTH	CD4	CD4_C09-CXCL13	T
NTR26-20180123	CRC.P0123_C000028:1	NoClonal	P0123	NTR	CD4	CD4_C11-IL10	N
NP776-20180123	CRC.P0123_C000029:1	NoClonal	P0123	NP7	CD4	CD4_C04-TCF7	N
TTR24-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR114-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR105-20180123	CRC.P0123_C000031:5	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTC121-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC86-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC117-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC45-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC84-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC150-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC182-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC32-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC122-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TTC2-20180123	CRC.P0123_C000033:12	Clonal	P0123	TTC	CD8	CD8_C07-LAYN	T
TP7115-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TP756-20180123	CRC.P0123_C000034:16	Clonal	P0123	TP7	CD4	CD4_C12-CTLA4	T
TTR147-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
TTR136-20180123	CRC.P0123_C000034:16	Clonal	P0123	TTR	CD4	CD4_C12-CTLA4	T
